,Name,Prices,Description,Origin,Shipping,Link
0,"bObsweep bObi Pet Robotic Vacuum Cleaner, Silver - OP5727556SV ",$395.47,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/bObsweep-bObi-Pet-Robotic-Vacuum-Cleaner-Silver-OP5727556SV/143539351197?epid=24027530904&_trkparms=ispr%3D1&hash=item216b9cae9d:g:SSUAAOSwMIVeUSZs&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qV%2FPdYyeG%2FQj7PXHwOZ0vLhwkzN01gUxcSJ2C5kfrgK4MB91id3%2BhA7IRyZcK%2BEikk5OA8%2Fr%2BHdU%2BlJswI5RATgR5zAsgPSnhOrLbM4Aj8aBSXgdFldOyIQGOLh0CCzktzX7%2F8lU2SRo7VOe1qPS%2FptKM8RQ6ie5gzxFYHUHbt1d3BPLC2xagsbhUTUBmyy4xkl69DIChw%2FA%2BGJHhEhYRh7SVto%2F0B0vmLx0mBIlznlPCPJ9MM7gIjkB94kRIAY3WLc1cWSlLWioioz52yzHrxiZK6At9HNniPec1Fv4JjmwS%2FRmJvOwlhelc0NF2XkcMTno1m1ntxBA6JPtLQAf4w%2FAnKnfWuRdYEPrsn4ZZo%2Fc7UKOGmerJS%2B4Kb6cnKwEB8tUABz9F0UFFtRH%2FMqHtvtt5B6fO7ZFC0M2xwiR1OgXjoPGRUXvC%2BIOosXggmMBt3RrX26vnws%2BnI%2BGAOb50poayrkI6ZelD%2FMdm0OHlgHIuxWypqMuxMX3qbi0i8%2Fqw%2BeLPZBSpU%2Fu%2BVbIsyqgsx5KB32nc2g2NMQdmA%2Bnw7b3vvnr3ZgWFVm8U%2BRXQCfNGeD%2FVwqyooITUFYNmdcVTrrwOZNQ3YyN%2BRAumzcnnqkRaDBgMEpDTsOUCkESeV6QNh5U2XEzu3dce%2FC2v6BYyLEBnGry3HSW9gUWHhYV0QuNb8PclmzP%2BqFFTEYv1nVZpQVwuUMQTgc6ywtTxLuQEKr0BPOPB6aHzkg9YTyEODGs%2Fmin2mpKc4YFWH8EsbYeeQDPLHGnBcLGVDLROaQmR9Q&checksum=14353935119744d847f04673440ea5e0250f1b734237
1,"eufy BoostIQ RoboVac 30, Robot Vacuum Cleaner, Upgraded, Super-Thin, 1500Pa... ",$321.48,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/eufy-BoostIQ-RoboVac-30-Robot-Vacuum-Cleaner-Upgraded-Super-Thin-1500Pa/143539911992?epid=3027548430&_trkparms=ispr%3D1&hash=item216ba53d38:g:ACAAAOSwTz1eUrEg&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qXK2E3ciSWzNAFzVsXZPXtpoyYDXpMOH7hFTEmYaBfHSlhP64Utl8FyC8DPYQyX%2FyVKZiAw2m%2B6Vvpo8pGTinisXjonKzun7YU4SndeygmHSzEfPppOwr2VPeCvib0qMahFujtTBzqUJT6SV36YJDpJNDubVZ830aYqEbPUNmNqZmMcV7mjfKBlpFrs8CaAE747Fx4%2BoYFoXlp4u1O8ouEF0RX4pFkzKDf%2F2UMFD%2FmYZUJ32%2FkZNZ7iKDuXW3ZgZ0aYQd3kOEqjNcYlgWhMGj3glJLy%2BJhz3zv7CWnGPF%2FxexVqGQ6jBpaNFo1pKMX3DkAI%2BQiMVL4arPH83Pe5z5gy4r0fjcLHw8lYxbKjeu7SuOWUZ%2BHFr0MpAEbedzUadiO3%2FDvwwTGQIURXAH38Oi76d2FkARfAPSSDs3JBKodlqh5rPQE50no93wS33OGWMcVJVvKwElY4V9R1E7WXBd1z46LeoDy9gLES18LZjOi0SmdQjJbfQ3SqKdd4c1itDk59jr9pIDnGiJCYn1E3hTYOVtL3InBNWzEzfgwEkW2h6xl%2B6lUh4MQbpXXyjCPs6gLHqQIWqdwzxZhAyjY19ToCgBbSPcxUg7owy1Ke7lmQhsc6%2B%2BJJUWcnNAWpPbooAInIqtezvI0yx%2F8rQr5dgedYV2ncuckeMfixZfYW%2BLrk%2Fcx4u8N3AePFaF%2BaVTSyVnP305Lx3rKOqibk%2FiBAJkY%2Bi6Y8RqYYqSGjCKOICBcEpHsR66W9B9blYMEVJwjwPw4%3D&checksum=14353991199244d847f04673440ea5e0250f1b734237
2,"bObi Classic Robotic Vacuum Cleaner and Mop, Snow ",$178.69,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/bObi-Classic-Robotic-Vacuum-Cleaner-and-Mop-Snow/143539519332?epid=20030526321&_trkparms=ispr%3D1&hash=item216b9f3f64:g:9BwAAOSwJrleUetr&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qVklcSjrUMpO6JsFkcyjRJvwuyZtDz2LP0UrE1yBAoYFnekxulnrddtZuhWiTqAxW1D7qnOFf0dAWZViz4Xtk42CEdDCSci58mwA9GtCA6bbqbzTh9T3VSFLYl5faPJcxMZ%2FCZe53dvD4gGD2olHUQB7pWq%2BhX0Zwjt8Cm9tXT%2BD1b2M1%2F89f46YdXrpRgkiyVl5BKzkp3%2F1fzKNfGPly6yc5sjaqoCZG0nRpyv3%2BhPsOA6izz9EVBQ%2FnaC%2FCPf0oNyEWU7rDhFNdBWWZuwfs7F3fWdw%2F0OL27bhJDLtkHy6yoPBxwGhDjDMrB3cQIsMuEIpEFfsNvEwzgwv2Lh1V%2BZsvB%2BnOxuOWelXNab2a3FrfCj2B9562HJfdHNO%2FNAxlae7RGqOCDIFn5J%2B0mSoJT4SYR8Ip7SHW52WvyfQ5ZubpbFsCkg6xVHpU7Vc3LLcR01rnyVRbb9x2FM3V79UMVaCKZBkWgqn2rCTL3AOoUh4FVOGgiVN%2Fqq%2BOlIBkqNSwbnhT8VajmXWTCairW7%2BHVBFXKg9imIAQlqEnYX%2BLixGXGr8XDlUzA5kumKunVOvpaN2nhGAb4%2BpK%2BXIjGQ%2FMDV3NbuPiB%2FtYi%2BSY8oRMUORlIjwBsFxHSGh3nOe9xnB05RfiWKMvpD4s8OidpeqZa6Wfh0aIIByeKh3tShQHOzO6%2FOCRW%2B%2FkPx%2FATYDcUQ1WnxXkdl2YUMVuMYQ7dRf0wM6nI%2FZGJpMe9qV4%2FPgtcJYnwo5aRCrcYitxJ8jT5EGsm0h5T%2FUcVq1jbfLkR977x9&checksum=14353951933244d847f04673440ea5e0250f1b734237
3,"bObsweep PetHair Robotic Vacuum Cleaner and Mop, Champagne - P4727546CH ",$375.45,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/bObsweep-PetHair-Robotic-Vacuum-Cleaner-and-Mop-Champagne-P4727546CH/143539492659?epid=3027548566&_trkparms=ispr%3D1&hash=item216b9ed733:g:huYAAOSwXA9eUcFO&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qWPI1l58hXoMOnBy6kU72CF6ZQeDpH3jMlBiO9rhOnvKKGwmZsVR%2FZ6%2BKa05KXhC2Vr7PZONL7KwqELZ8Lvk%2Bl68xWB8lk7JyLz0%2F6HV2p5ZD%2BhlNOio6ZhxuFmX6zKeUZ%2FsVrQExbFMpKZxUeDhF1zfRbkuCU5leXMzs6mB%2BynjWUGZAd%2Fii%2F%2FsMl2BCY5hMv9oHpeIdJeYnMxoZs8QlXXPo4i3cj1BGTwjhZ7%2BCmFSNgqsMemhC0EEh9t%2FrBu13DcAD2lgpdaz%2FymrplZCjLdBVcJESsGtKH6iiZMIZ64bU1EW2iElQygU0I7gh72lAWKgcGFYNbB6hnD58ZIVHCeNI73c5y4na1HkYUlV7Ni%2BCHRWkR3qH2Q%2BH3Qwt0JL9brxQ8d0xYErF6GSpzGc3O%2BVAzamGuPHwrlqiTNcP8TJ7lV6ku3%2F8JJsn8GZn0krsQkcd9rwpGvldnO4OiqrzrzJ8eZewMpqMUqdEUiA54akCrZXhX5CJjbSDzH8RYEaBp%2Fzw0htSWgb83pr5cFNDit8vhZ%2B0%2BSOw0N9al5oAo%2FgOSnFrXtJBiuNXAv6%2Fbge%2BNG%2FXBafYW75VcLl6wKABOA4pCeNY2xbpRw%2FYtLBKu3kBVX7ESulN%2Fqw6Nm4JUqXguTvhX8DEmR7IMSB2da2rHm1rckXfYVQypHdLUKA05qgw4BY1ObcvDMY1NaVdcMZDmvSiAkxsmcvoX%2F%2BTWciKJPNguPKMRV3pwEsh3xLTeMmlYSAz%2F8rABxU438HCzfhrNn9mGkLn413gLerEtaPCDF&checksum=14353949265944d847f04673440ea5e0250f1b734237
4,"bObsweep WPP56001CH Pethair Plus Robotic Vacuum Cleaner and Mop, Charcoal ",$440.83,None,From Canada,"<span class=""s-item__shipping s-item__logisticsCost"">+$72.61 shipping</span>",https://www.ebay.com/itm/bObsweep-WPP56001CH-Pethair-Plus-Robotic-Vacuum-Cleaner-and-Mop-Charcoal/143540044217?_trkparms=ispr%3D1&hash=item216ba741b9:g:RiQAAOSwiMBeUy88&enc=AQAEAAACUBPxNw%2BVj6nta7CKEs3N0qVJY%2FaZ1GsoLdRVXqmTBia0wKevcpX1MWRXmNv6xJ6i4S0aQLn2kDjJMn8FtRl1LTN1F1Ool5EXnfS1a6PmeuTSJr8oRFHv%2Bi1IstAg92%2FGBCw5ZFIaOvqX7RWg5uPUZHPKBnahkSFipgmo4KAhbChOKcOZ3IzjVIzTjrwfWhY%2BVhg0ybl0v5mJ1RXMUebTzgP63N84nDdlWpmobThqmUmvG8mQXmlDKo5vK4iT6dsOHXT%2F8gnuia5dz5kX5rRh%2FDlwTplybKHPFJ2TALL01UQTb%2FYzWSSD6x8thNY%2FSclc70LrnSzN6Ln0ezJ09qQKQyOfA9devFOAn8JbhaaoRBPB2dcTBQelLJ8Ne8mnlQ6cxbX7YnU5Hi3Zu3BiEjvteQAzcnYhSCxSG5Acsx%2FAHsWJTQbuZKz5jp9x023t7zgFI9VktQWJO0y%2BA39r7kOXZ4Z5MqepUF5VzjSTYDmgHi6RQLJjRstOjyczT2RHQTkWCimxeS%2FDRNAPw9K5qtK5lQkXZA1RSW39sW5IC%2BEwrKYyxzlWcCynreCsdNWHXgkanNcuDbAblUNt%2FEuiRwUEhpvjdjuaU0BPahz515nVRIcMIo2Cjbhg%2Fl83V7bzQ3PcFyxV7mRk22%2FqEin%2FYCGs%2FI%2FRXJkI4CWib8CFHfRCkjlgmCXVarOyNjweQVwQ8KsvP%2B3MIyw%2BPpZzecWkLRl7uLYa%2BnURdLbA6Kk0Xh6CnuWnrqbDbzdQWQMFupcoSTJV7cgGVsgzUjp3rq3hwJMe6sI%3D&checksum=14354004421744d847f04673440ea5e0250f1b734237
5,3 IN 1 Smart Robot Vacuum Cleaner Auto Cleaning Microfiber Mop Floor Sweeper US,$12.99,None,From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/3-IN-1-Smart-Robot-Vacuum-Cleaner-Auto-Cleaning-Microfiber-Mop-Floor-Sweeper-US/164021591106?hash=item263072dc42:m:m6JlqbwzVOGZ9tAotwHF8zA
6,"C30B LIECTROUX Robot Vacuum Cleaner,3000Pa Suction,WiFi App,2D Map Navigation",$217.32,"with Memory,Electric Water Tank, Brushless Motor,LCD",From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/C30B-LIECTROUX-Robot-Vacuum-Cleaner-3000Pa-Suction-WiFi-App-2D-Map-Navigation/254535604823?hash=item3b43811a57:g:b7gAAOSw8Q5d1V1a
7,"ILIFE A8 Robotic Vacuum Cleaner with Camera Navigation, Floor Cleaning Robot New",$221.56,None,From United Kingdom,"<span class=""s-item__shipping s-item__logisticsCost"">+$13.02 shipping</span>",https://www.ebay.com/itm/ILIFE-A8-Robotic-Vacuum-Cleaner-with-Camera-Navigation-Floor-Cleaning-Robot-New/392712531087?epid=19032783430&hash=item5b6f7dac8f:g:U6oAAOSwtZpeXpxu
8,US Smart Robot Vacuum Cleaner Automatic Sweeper Floor Carpet Clean Rechargeable-,$10.79,None,From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/US-Smart-Robot-Vacuum-Cleaner-Automatic-Sweeper-Floor-Carpet-Clean-Rechargeable/392577850411?hash=item5b67769c2b:m:moxpKKDcYzUuOGlbrah3t6w
9,Liectroux Magnetic Vacuum Cleaner Window Cleaning Robot X6 ,$175.77,None,From China,"<span class=""s-item__shipping s-item__logisticsCost""><span class=""BOLD"">Free International Shipping</span></span>",https://www.ebay.com/itm/Liectroux-Magnetic-Vacuum-Cleaner-Window-Cleaning-Robot-X6/254237291271?epid=23022474127&hash=item3b31b93307:g:x-YAAOSw2Ldc4lKj
