"bObsweep bObi Pet Robotic Vacuum Cleaner, Silver - OP5727556SV",$531.04,"BC, Canada","C $97.50

							(approx. US $70.29)",jndvd9,,,https://www.ebay.com/itm/bObsweep-bObi-Pet-Robotic-Vacuum-Cleaner-Silver-OP5727556SV/143539351197?epid=24027530904&_trkparms=ispr%3D1&hash=item216b9cae9d:g:SSUAAOSwMIVeUSZs&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qV%2FPdYyeG%2FQj7PXHwOZ0vLhwkzN01gUxcSJ2C5kfrgK4DZ5fF%2B8zWm2%2B8ZhVYRSJ2oDz4S4LlQjS1qAHamJNQpPI9TplzjyGFCZiV9ipP4IvSzmz%2B%2BlCniwafP4CVYtxFFYGm0Ex0z3CzF9MaEKkefui1FanNaUzXvPXNvGvvGyTQO9DpJZYj0crfDwXoBXBuYGjcbCQUYpt%2BINln4mXUY1LGYWa6c17aoRGhjmwGL%2Bnnr49Ti8M26qa8rqSIeiSMzJCIRaEAbGe7CIzCKQPs7HPjUeOgo0OrMQjc98Dob%2BnMVoosfJPprnhfQejMXqBVhdPFtmIoZK2MQob2Sm7eYYJObj1nDdagpjTO2Tf5F6c6mbhDWNgefV%2BIjaTDf6aNPXvjSVj%2FerHe3hRCHktE2Yzau48LVL%2FvJQCYhV0e3Hpp1JUabrVIjEGEOW6GH76K9oRH0UhBG17tWoibamwFBghOzgIE%2BPiYtT%2FN5gFDeggoEuF636Rg%2BPPC85jj0nssmaZkr1%2F34TfdBc9gsQPRFTe%2BJmh%2F%2B4W4cck1%2BpQc6L%2BM49ocUcnOgcLcDtvucoYfdFDijUjraRhl2ZAIu1DSg0mwn%2BgIFYHAEl7eRGpRQYtF2WScBzP8LW908zNODde2wss1QFst5DHIFlscOgtyvg84AKkZR4%2F0Y8mfX7BgXwSXxQnBJjrSHV5E9U0Bgv%2Fs%2Fu0l8QXpY%2F0Vjj%2Fic1SX4mT2PP%2BHgQ%2FTM3J6Dg9QMvjclxOtTI1JNE8Z2iex0g%2Bqrb3f8zvoaL0KffMh3G8lAQ&checksum=143539351197cdf074228aae49d5a582fa398918aa4a
"bObsweep PetHair Robotic Vacuum Cleaner and Mop, Champagne - P4727546CH",$504.16,"BC, Canada","C $97.50

							(approx. US $70.29)",jndvd9,,,https://www.ebay.com/itm/bObsweep-PetHair-Robotic-Vacuum-Cleaner-and-Mop-Champagne-P4727546CH/143539492659?epid=3027548566&_trkparms=ispr%3D1&hash=item216b9ed733:g:huYAAOSwXA9eUcFO&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qWPI1l58hXoMOnBy6kU72CF6ZQeDpH3jMlBiO9rhOnvKLDdB9pZeWgRuJP5TAVuG9BMzTxeZvRqZET7BQnA42Wu8VJlsx6io0e6VrC98EVG9h1ASkIDzmenYvvoQZ8ou8Hf9Fbu8DOuoCJwgpJmoRdBZMchwc51aEurLga9XhmQKf4gcCGJj8%2FUNK%2FtApgXjxGMR6uILO26X9b%2FvFb7%2B7s973tlofbPc%2Bhi2cNhxJt480Qx6cC9eFOP5kQSTjcUW9A76Lt%2F2QSUP5rdL2udda5RJLkseAdoL8HXIoWVrPEM%2BSwrAMzBUUJFXHV6tjAmBfNMBB2o1xmknNdmyzSIcco5vt6OxxXXf9LZ0fgzL5wapB8g%2FR3Tk0y8UqUXC%2BZ2Ku%2Fnm%2F7wS1OgjTOvu0sbLafNwFJB8PqskyfoPQinYr8VElNrpqLZy%2FDzdB%2BHQI8RzpQRkA0%2BG1L6WI4NeysrEGbiR7N2ZhU%2Fq4fQCybEE0I5RtoanwLgsSU8k5TA36upbeL1U6xHsIM1OadQgicV5bEO2e2kbKrD7PkjV35g5PCJL7Tw370Pyy6m6pPsmYgKmPx83UsKM49eLku7bSo8foz%2BbNlhqJ6ZvfY8hQobJKJ253mhLRZbYq2Z42R53ix0VWj12vXRE8recvk%2FftjO84myJIjMkqR5HYoP3Y4OsXXxuMLAM5v4qnNvnEGUfTf4mTr1drziTcIOrLhCsXpGBDB0CtW77BxqwpYoCCJLYYiJy1mJsYI3spW7wXYXqG8BJgJfkj88qMGEhI4rEP%2Be3fdR&checksum=143539492659cdf074228aae49d5a582fa398918aa4a
"eufy BoostIQ RoboVac 30, Robot Vacuum Cleaner, Upgraded, Super-Thin, 1500Pa...",$431.68,"BC, Canada","C $97.50

							(approx. US $70.29)",jndvd9,,,https://www.ebay.com/itm/eufy-BoostIQ-RoboVac-30-Robot-Vacuum-Cleaner-Upgraded-Super-Thin-1500Pa/143539911992?epid=3027548430&_trkparms=ispr%3D1&hash=item216ba53d38:g:ACAAAOSwTz1eUrEg&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qXK2E3ciSWzNAFzVsXZPXtpoyYDXpMOH7hFTEmYaBfHSqLEkEYbmjPTs83d0OCOk8Pq2uoKGLICmY5X7sWtLU%2FzFrN5hFAJ4x4gZlMYnUz4UMEP8Q942T3uv6U8KaI5SMtFjKMpmFMGMHZ%2Fo%2BzBvbpujSiiEgeuqJ5fO9Zp0MJYLjZZ4kJxPT5KBz245T2a%2Fw7QdFA%2FS%2BTTm7eAj8oLn5%2FHxFtSImk8RBLcxBGo2y82rCO5kWs%2BuiWHKUQbjSEZ3w9xLaISMhhRxkVdg1L9Q4I0Zn%2BvQQFsTjC7l7lD%2BYbX5VIb%2FQHcuDMkY8riyA5J1XgJ%2FRTCJGQveliI168i5L%2Fdfe06J3Nc1J7%2BSJqnQ0JGK2NZVO8MMEF8wh9SW3egXENxfHYfcrVouN%2Fw2s1hFMk7RX2q%2Fa5xooih96YbdHFe4Y90UZ%2BHZnuzF70qYOh7nAwYmROVpzuBtI1uIam22PEOoZd6OfywVE83wzFHlNLRlZoGEhSoXSaUmjpIp1Ior0RskvubgY0e1Qc9PKOv4GKMcdHUrUDKdcJ8sZkxBsPEXuXeyHw7QeCduujdQshBJ3rQ5H2MxsSktclI%2FbeGOmvT9nC5UEAIYra1anj9DaF5g51SK5vi1%2FbojtowiPiWtx7FRQGjt8sA9NDWflKMjtxGhOd5lw7lem8M3Wu0W4yKa8VEANUI5WHffe5JPT3WL1RpXH7MpfMlPa3hW5Wdi4MXzACRi88lk27BT8ZQtw%2Fy%2B06ClHZEJ2BGJA%2BRYBSS9xTTtjtEkVcQdfD%2B4UZPTp9W&checksum=143539911992cdf074228aae49d5a582fa398918aa4a
"bObi Classic Robotic Vacuum Cleaner and Mop, Snow",$239.95,"BC, Canada","C $97.50

							(approx. US $70.29)",jndvd9,,,https://www.ebay.com/itm/bObi-Classic-Robotic-Vacuum-Cleaner-and-Mop-Snow/143539519332?epid=20030526321&_trkparms=ispr%3D1&hash=item216b9f3f64:g:9BwAAOSwJrleUetr&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qVklcSjrUMpO6JsFkcyjRJvwuyZtDz2LP0UrE1yBAoYFjQc0ODr54h6k1ou7C0W77z%2BvL6%2BZDhNHj9wesghaeB40HV8ymZOlCJXIhpie64uUjiUjTvZHCWsJx4e4lnhOYezzEFd07jkaghshk%2BNpuR4vYX%2BzSElkW7lz2BrG7UnVzmjAM2DrHdeDHAhzWjC4EOX18kAIhSzgKhou6sGoV8tKrsXSRPldOF%2F8p0BUA0Kumc7hxIkV%2BPZWDWDKCE%2FZVzBlXa8eF%2BNepqzTvc9VHNODjLk3yt8plaq7%2BLLcki9vZCpbcuvRMpuU4sl4dt%2B9SVsVDQN6eVt3Qb81NYmqfNROqtm4x%2BUqi8%2B%2B6zJq1yhcLgYkqczJOb6KNpJ2W8K0oroy7IvSkYyo%2Bwk%2BDbzCTYl66ZaN5N1KyrUoUZh%2F9wdqeYhdtKRaZ52AXgKX7GVDo6dw%2BXwSPrA3H2tX6LBzZEC6lmzZ2oiAh5ZG3ij5K8hqA9xnISqL6uDzQ1Q1XiQbBKRcqncnx8EuJeDMp5qY4VoRwn8sdwyV2VEwDdKHxrWf2QaSfJT%2B4axJdFztJG5Y2eaSjYi46K6%2BDzQ0bCEYqqM2eKtRjCHTiamJyWAv%2BAhwdDKXMB2UjQzH1A%2Fk%2BORk2ZQZy8XZjTJozsdoohYPH%2FyV22unTGGOmvByrOHu6yh9wLvaCqhk6z%2FXPD76z4d2ROwhXsgpvhQKMq2J28KYhf2NLDEhbI5I0w9aJRCHhkBVlYPdZmmBqgiji8GiE9IR6fZAN1XyTVBo%2FTE8%2FUy%2BX9y&checksum=143539519332cdf074228aae49d5a582fa398918aa4a
"bObsweep PetHair Robotic Vacuum Cleaner and Mop, Rouge",$380.14,"BC, Canada","C $97.50

							(approx. US $70.29)",jndvd9,,,https://www.ebay.com/itm/bObsweep-PetHair-Robotic-Vacuum-Cleaner-and-Mop-Rouge/143538868601?epid=4030517195&_trkparms=ispr%3D1&hash=item216b955179:g:VaEAAOSwgGJeURkJ&enc=AQAEAAACYBPxNw%2BVj6nta7CKEs3N0qXcqJJJg5bS7%2F5D4sTy74cA3qIQDVtlS%2Fnn8gTx1XfpzOlruzs5xhp9L6gvSg6gNpEpWvw4Z%2F9AeZYfoAZUYF7xfh%2BLlPdezj9xWuuobxaaPLIVwUeluVmBeBAWPlZ0z7Am7hKxUgkC3%2BiPKibHXpATHVYxB%2F72TgMCUgzQeSeKcFp%2BIkLeepZoj9il1PmcaNRrsjflq9coPSirwgNpd8KIlcJXGoTaxShF9BZBkL%2BKSQqk9AtnU4o%2FS9dk345f3QyNazXoYIVKcE6S0edodBwgHBhKl%2BOGcQ9EH%2Blif1ZO%2BAVh49EK6ZJaxww3t24xm%2BVyEBLdDSOc%2F3Qn3gDp8ciF%2Bs8TqRVdpGjW99vgFKMaOj9KKeLg9u2q0%2Bom0uAT6Q%2B%2FbhS4wZ95os6ul5r%2FgYb%2BFS%2Bf3bQ1oIYgOK%2B2KdySZwDnGwaGG4GsxLpWb0NLFyCyLONmMf%2B0QB9S1oyF%2F4bsaWjomLP9AFznhjvoRyRwu%2BIgp9XK%2BeFfkB3tOvDQI7KwjHeJwY1DpHraiUMAHRGWGrW6LIqeBu2vPoSnees8si4%2BMFBX%2BFBkvGqmB%2FrLvVm853zRudyw0NYWmyLtRS8DNd1G2tRGickI8dMUR2%2FU4p1heKU0QEuVcRy%2BTxclTRAN57kIi79ttx2LK%2FmFAOuRNsXUg8C2Vi%2BzY4jg8VMKl9%2B018Q1OIoIYWaDjyLEPUVVYGtI4FY4CXDeTci4mVHvdlLbr6kcBsY4LwXlXDEeoA8P%2FhaFlTCYnp4qSOeQg9jXsjlDjK5lBuklVaUOxSwW&checksum=143538868601cdf074228aae49d5a582fa398918aa4a
Self Navigated Rechargeable Smart Robot Vacuum Cleaner Auto Sweeper Edge Clean A,$24.45,"Toronto, Canada",FREE,francorous,,"
with brush
without brush",https://www.ebay.com/itm/Self-Navigated-Rechargeable-Smart-Robot-Vacuum-Cleaner-Auto-Sweeper-Edge-Clean-A/352900028706?hash=item522a7b1922:m:mGvMaFIiDGOVtq8cjnblf8A
US Smart Robot Vacuum Cleaner Automatic Sweeper Floor Carpet Clean Rechargeable-,$10.79,"Hong Kong, China",FREE,fhew47,,"
#01 - White
#01 - Black
#02 - USB charge type (with ba...",https://www.ebay.com/itm/US-Smart-Robot-Vacuum-Cleaner-Automatic-Sweeper-Floor-Carpet-Clean-Rechargeable/392577850411?hash=item5b67769c2b:m:moxpKKDcYzUuOGlbrah3t6w
"LIECTROUX C30B Robot Vacuum Cleaner,3000Pa Suction,2D Map Navigation,WiFi App",$217.32,"SHENZHEN, China",FREE,lilinrobot,,,https://www.ebay.com/itm/LIECTROUX-C30B-Robot-Vacuum-Cleaner-3000Pa-Suction-2D-Map-Navigation-WiFi-App/254092958272?hash=item3b291eda40:g:b7gAAOSw8Q5d1V1a
Intelligent Robot Vacuum Cleaner RC Sweeper w/ Wet Mop Rechargeable Cleaner,$78.61,"Shenzhen, China",FREE,notebook.edge,,,https://www.ebay.com/itm/Intelligent-Robot-Vacuum-Cleaner-RC-Sweeper-w-Wet-Mop-Rechargeable-Cleaner/233425004480?hash=item365936e7c0:g:8BkAAOSwcqFd6cWg
Philips Robot Vacuum Cleaner SmartPro Easy Smart Cleaning Wireless FC8792/01,$341.99,"Seoul, Korea, South",FREE,davantistudio,,,https://www.ebay.com/itm/Philips-Robot-Vacuum-Cleaner-SmartPro-Easy-Smart-Cleaning-Wireless-FC8792-01/352570020286?epid=18016478643&hash=item5216cf91be:g:iBoAAOSwm5xcPrUG
